reference;identifier;polymer_type;polymer_type_style;polymerization_type;SMILES_start;SMILES_end;SMILES_rep_u1;molpercent_rep_u1;SMILES_rep_u2;molpercent_rep_u2;SMILES_rep_u3;molpercent_rep_u3;Mn;PDI;Mw;mass_characterization_method;mass_characterization_method_standard;heating_rate;n_of_heating_cycles;add1;add1_percent;add2;add2_percent;Glass_temperature;2nd_Glass_temperature;tg_def_type;Decomposition temp;td_def_type;Unnamed: 29;Comment;rating
10.3390/polym14030361 ;TSU-075-A;Homo;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);1,0;;;;;8500,0;1,49;;SEC;PMMA;9,47;3;;;;;90,9;;C;;;;;
10.3390/polym14030361 ;TSU-075-AB;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OCC);0,5;;;9000,0;1,59;;SEC;PMMA;9,47;3;;;;;72,2;;C;;;;;
10.3390/polym14030361 ;TSU-075-AC;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OCCO);0,5;;;1200,0;2,3;;SEC;PMMA;9,47;3;;;;;106,2;;C;;;;;
10.3390/polym14030361 ;TSU-075-AD;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OCCC);0,5;;;12700,0;1,43;;SEC;PMMA;9,47;3;;;;;72,4;;C;;;;;
10.3390/polym14030361 ;TSU-075-AE;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OC(C)C);0,5;;;11500,0;1,54;;SEC;PMMA;9,47;3;;;;;76,4;;C;;;;;
10.3390/polym14030361 ;TSU-075-AF;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OCCCC);0,5;;;11100,0;1,62;;SEC;PMMA;9,47;3;;;;;43,7;;C;;;;;
10.3390/polym14030361 ;TSU-131-AG;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OCC(C)C);0,5;;;12300,0;1,62;;SEC;PMMA;9,47;3;;;;;82,7;;C;;;;;
10.3390/polym14030361 ;TSU-075-AH;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OC(C)(C)C);0,5;;;14500,0;1,49;;SEC;PMMA;9,47;3;;;;;91,5;;C;;;;;
10.3390/polym14030361 ;TSU-075-AI;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OC1CCCCC1);0,5;;;7500,0;1,26;;SEC;PMMA;9,47;3;;;;;81,1;;C;;;;;
10.3390/polym14030361 ;TSU-075-AJ;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OCc1ccccc1);0,5;;;9600,0;1,31;;SEC;PMMA;9,47;3;;;;;45,6;;C;;;;;
10.3390/polym14030361 ;TSU-075-AK;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)Oc1ccccc1);0,5;;;10400,0;1,57;;SEC;PMMA;9,47;3;;;;;98,6;;C;;;;;
10.3390/polym14030361 ;TSU-075-AL;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C)(C(=O)OC1C[C@H]2CC[C@]1(C)C2(C)C);0,5;;;15400,0;1,36;;SEC;PMMA;9,47;3;;;;;138,7;;C;;;;;
10.3390/polym14030361 ;TSU-075-AM;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C(=O)OC(C)(C)C);0,5;;;7700,0;1,41;;SEC;PMMA;9,47;3;;;;;72,2;;C;;;;;
10.3390/polym14030361 ;TSU-075-AN;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C(=O)OC1CCCCC1);0,5;;;6800,0;1,65;;SEC;PMMA;9,47;3;;;;;44,0;;C;;;;;
10.3390/polym14030361 ;TSU-075-AO;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C(=O)OC1C[C@H]2CC[C@]1(C)C2(C)C);0,5;;;10400,0;1,36;;SEC;PMMA;9,47;3;;;;;75,6;;C;;;;;
10.3390/polym14030361 ;TSU-075-AP;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OC);0,5;[*]CC[*](C(=O)OCCCCCCCCCCCCCCCC);0,5;;;7500,0;2,02;;SEC;PMMA;9,47;3;;;;;;;C;;;;kein Tg gefunden;
10.3390/polym14030361 ;TSU-075-B;Homo;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OCC);1,0;;;;;13700,0;1,48;;SEC;PMMA;9,47;3;;;;;43,0;;C;;;;;
10.3390/polym14030361 ;TSU-075-BC;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OCC);0,5;[*]CC[*](C)(C(=O)OCCO);0,5;;;14300,0;1,59;;SEC;PMMA;9,47;3;;;;;83,7;;C;;;;;
10.3390/polym14030361 ;TSU-075-BD;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OCC);0,5;[*]CC[*](C)(C(=O)OCCC);0,5;;;13800,0;1,37;;SEC;PMMA;9,47;3;;;;;38,1;;C;;;;;
10.3390/polym14030361 ;TSU-075-BE;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OCC);0,5;[*]CC[*](C)(C(=O)OC(C)C);0,5;;;11500,0;1,62;;SEC;PMMA;9,47;3;;;;;53,7;;C;;;;;
10.3390/polym14030361 ;TSU-075-BF;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OCC);0,5;[*]CC[*](C)(C(=O)OCCCC);0,5;;;13700,0;1,51;;SEC;PMMA;9,47;3;;;;;30,4;;C;;;;;
10.3390/polym14030361 ;TSU-075-BG;Co;;RAFT;[*]C(C)(C)(C#N);[*]SC(=S)c1ccccc1;[*]CC[*](C)(C(=O)OCC);0,5;[*]CC[*](C)(C(=O)OCC(C)C);0,5;;;14500,0;1,44;;SEC;PMMA;9,47;3;;;;;47,5;;C;;;;;
