reference;polymer_type;polymer_type_style;polymer_architecture;polymerisation_type;SMILES_start_group;SMILES_end_group;SMILES_repeating_unitA;molpercent_repeating_unitA;SMILES_repeating_unitB;molpercent_repeating_unitB;SMILES_repeating_unitC;molpercent_repeating_unitC;SMILES_repeating_unitD;molpercent_repeating_unitD;SMILES_repeating_unitE;molpercent_repeating_unitE;Mn;Mw;PDI;mass_characterisation_method;mass_characterisation_standart;polymer_concentration_mass_conc;polymer_concentration_wpercent;additive1;additive1_concentration_molar;additive1_concentration_weight_percent;additive2;additive2_concentration_molar;additive2_concentration_weight_percent;cloud_point;N/A;def_type;pH;identifier;comment;tacticity;rating
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,2;;;;;;;11500,0;20700,0;1,79;SEC(DMAc);PMMA;;0,01;;;;;;;32,1;;A;;PNIPAM-co-AA;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NC1CC1);0,075;;;;;11700,0;22700,0;1,94;SEC(DMAc);PMMA;;0,01;;;;;;;43,0;;A;;PNIPAM-cycloprop-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NC1CCC1);0,075;;;;;12000,0;23100,0;1,93;SEC(DMAc);PMMA;;0,01;;;;;;;44,0;;A;;PNIPAM-cyclobut-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NC1CCCC1);0,075;;;;;12200,0;23400,0;1,92;SEC(DMAc);PMMA;;0,01;;;;;;;45,5;;A;;PNIPAM-cyclopent-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NC1CCCCCC1);0,075;;;;;12500,0;24200,0;1,93;SEC(DMAc);PMMA;;0,01;;;;;;;43,0;;A;;PNIPAM-cyclohept-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NC1CCCCCCC1);0,075;;;;;12600,0;24600,0;1,95;SEC(DMAc);PMMA;;0,01;;;;;;;42,0;;A;;PNIPAM-cyclooct-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NCCC);0,075;;;;;12600,0;25100,0;1,99;SEC(DMAc);PMMA;;0,01;;;;;;;48,0;;A;;PNIPAM-C3-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NCCCC);0,075;;;;;12700,0;25800,0;2,02;SEC(DMAc);PMMA;;0,01;;;;;;;43,0;;A;;PNIPAM-C4-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NC(C)(C)C);0,075;;;;;12900,0;26000,0;2,01;SEC(DMAc);PMMA;;0,01;;;;;;;47,0;;A;;PNIPAM-C4t-7.5;;;
10.1016/j.fuel.2016.10.075;random;;linear;FRP;[*]C(C)(C)(C#N);[*]C(C)(C)C#N;[*]CC[*](C(=O)NC(C)C);0,8;[*]CC[*](C(=O)O);0,125;[*]CC[*](C(=O)NCCCCC);0,075;;;;;12900,0;26600,0;2,05;SEC(DMAc);PMMA;;0,01;;;;;;;41,0;;A;;PNIPAM-C5-7.5;;;
